Date,Open,High,Low,Close
2014-06-12,2051.582031,2057.10498,2045.962036,2051.712891
2014-06-13,2049.206055,2073.595947,2048.61792,2070.715088
2014-06-16,2070.698975,2087.322021,2069.440918,2085.98291
2014-06-17,2080.481934,2080.481934,2064.666016,2066.697998
2014-06-18,2064.383057,2066.913086,2051.746094,2055.519043
2014-06-19,2054.620117,2059.254883,2017.652954,2023.734985
2014-06-20,2013.41394,2027.147949,2010.530029,2026.67395
2014-06-23,2026.225952,2033.319946,2022.916992,2024.36499
2014-06-24,2023.698975,2034.707031,2021.75,2033.93103
2014-06-25,2030.432983,2030.615967,2018.359985,2025.501953
2014-06-26,2025.661987,2040.754028,2025.313965,2038.677002
2014-06-27,2031.906982,2043.982056,2025.072998,2036.51001
2014-06-30,2038.613037,2052.342041,2038.526978,2048.326904
2014-07-01,2051.225098,2052.63501,2041.937012,2050.381104
2014-07-02,2049.485107,2060.594971,2044.035034,2059.417969
2014-07-03,2051.63208,2066.641113,2048.081055,2063.229004
2014-07-04,2062.35791,2065.077881,2054.217041,2059.375
2014-07-07,2058.12793,2064.042969,2050.886963,2059.927002
2014-07-08,2058.134033,2064.433105,2047.203979,2064.020996
2014-07-09,2061.63501,2062.474121,2037.600952,2038.612061
2014-07-10,2036.540039,2045.526978,2034.956055,2038.342041
2014-07-11,2033.869019,2051.737061,2033.004028,2046.96106
2014-07-14,2047.744019,2067.342041,2044.901001,2066.645996
2014-07-15,2065.899902,2070.35791,2059.678955,2070.356934
2014-07-16,2068.343018,2075.49292,2061.572021,2067.275879
2014-07-17,2062.886963,2062.886963,2046.188965,2055.591064
2014-07-18,2047.498047,2067.23291,2045.995972,2059.066895
2014-07-21,2057.76709,2061.822998,2049.175049,2054.479004
2014-07-22,2050.5,2078.084961,2049.814941,2075.480957
2014-07-23,2074.195068,2088.191895,2072.229004,2078.489014
2014-07-24,2079.63208,2107.946045,2079.63208,2105.062012
2014-07-25,2108.714111,2127.217041,2106.714111,2126.614014
2014-07-28,2135.249023,2181.496094,2135.249023,2177.947998
2014-07-29,2179.825928,2193.522949,2172.102051,2183.191895
2014-07-30,2178.178955,2194.572021,2177.243896,2181.24292
2014-07-31,2179.542969,2202.125977,2173.899902,2201.562012
2014-08-01,2194.169922,2218.789063,2184.641113,2185.302979
2014-08-04,2190.035889,2224.068115,2186.916992,2223.331055
2014-08-05,2224.63208,2226.837891,2206.850098,2219.945068
2014-08-06,2212.00293,2223.893066,2192.99292,2217.465088
2014-08-07,2216.658936,2220.568115,2185.762939,2187.668945
2014-08-08,2188.708984,2199.577881,2180.596924,2194.425049
2014-08-11,2199.433105,2225.960938,2198.313965,2224.654053
2014-08-12,2222.696045,2222.979004,2210,2221.594971
2014-08-13,2223.051025,2230.990967,2202.443115,2222.876953
2014-08-14,2221.541016,2230.894043,2204.384033,2206.466064
2014-08-15,2207.226074,2230.87207,2203.241943,2226.733887
2014-08-18,2229.803955,2242.034912,2228.134033,2239.466064
2014-08-19,2242.340088,2246.016113,2227.925049,2245.330078
2014-08-20,2241.664063,2248.938965,2233.89209,2240.210938
2014-08-21,2239.568115,2240.076904,2211.629883,2230.458008
2014-08-22,2228.974121,2243.302979,2225.26709,2240.812012
2014-08-25,2241.100098,2241.552979,2222.009033,2229.273926
2014-08-26,2225.291016,2232.784912,2200.61792,2207.105957
2014-08-27,2207.030029,2216.669922,2204.048096,2209.465088
2014-08-28,2210.483887,2219.4729,2194.861084,2195.818115
2014-08-29,2198.946045,2218.696045,2193.262939,2217.199951
2014-09-01,2220.128906,2236.285889,2217.685059,2235.510986
2014-09-02,2239.684082,2267.509033,2234.37793,2266.045898
2014-09-03,2268.39502,2290.547119,2268.100098,2288.626953
2014-09-04,2290.029053,2307.700928,2283.2771,2306.862061
2014-09-05,2311.304932,2327.556885,2307.447021,2326.431885
2014-09-09,2328.426025,2331.916992,2315.894043,2326.5271
2014-09-10,2318.496094,2321.907959,2306.420898,2318.304932
2014-09-11,2315.731934,2343.594971,2304.602051,2311.678955
2014-09-12,2308.345947,2331.949951,2302.774902,2331.949951
2014-09-15,2330.187012,2340.448975,2321.593018,2339.139893
2014-09-16,2341.0271,2347.935059,2293.868896,2296.554932
2014-09-17,2298.981934,2309.048096,2282.794922,2307.893066
2014-09-18,2303.850098,2319.875,2297.930908,2315.927979
2014-09-19,2312.983887,2331.561035,2305.51709,2329.450928
2014-09-22,2323.553955,2323.553955,2284.37793,2289.865967
2014-09-23,2289.091064,2311.524902,2289.023926,2309.718018
2014-09-24,2302.230957,2345.74707,2297.875977,2343.574951
2014-09-25,2352.86499,2365.154053,2336.804932,2345.103027
2014-09-26,2339.288086,2350.108887,2329.955078,2347.718018
2014-09-29,2353.708008,2363.059082,2346.579102,2357.710938
2014-09-30,2361.318115,2365.490967,2354.268066,2363.870117
2014-10-08,2368.575928,2382.793945,2354.290039,2382.793945
2014-10-09,2383.858887,2391.3479,2367.111084,2389.371094
2014-10-10,2380.754883,2386.2771,2365.074951,2374.540039
2014-10-13,2366.426025,2366.862061,2341.124023,2366.009033
2014-10-14,2362.802002,2380.514893,2349.194092,2359.475098
2014-10-15,2358.23291,2374.808105,2344.373047,2373.669922
2014-10-16,2361.129883,2389.675049,2353.406006,2356.499023
2014-10-17,2352.783936,2360.596924,2312.825928,2341.184082
2014-10-20,2346.052002,2357.509033,2340.458984,2356.728027
2014-10-21,2355.032959,2361.653076,2337.551025,2339.656982
2014-10-22,2339.2229,2352.124023,2324.590088,2326.552979
2014-10-23,2322.315918,2329.927002,2297.330078,2302.417969
2014-10-24,2303.080078,2314.875,2296.656982,2302.280029
2014-10-27,2293.572998,2293.644043,2279.835938,2290.437012
2014-10-28,2294.011963,2338.278076,2294.011963,2337.871094
2014-10-29,2343.719971,2381.643066,2339.711914,2373.030029
2014-10-30,2371.891113,2397.256104,2365.918945,2391.075928
2014-10-31,2393.177979,2423.595947,2384.48291,2420.177979
2014-11-03,2425.225098,2436.784912,2418.166992,2430.970947
2014-11-04,2428.270996,2435.2229,2417.220947,2430.737061
2014-11-05,2432.168945,2434.363037,2415.501953,2420.395996
2014-11-06,2419.616943,2426.889893,2401.75,2425.809082
2014-11-07,2427.897949,2454.423096,2407.441895,2419.145996
2014-11-10,2436.62793,2474.156006,2428.185059,2473.183105
2014-11-11,2483.647949,2508.623047,2445.959961,2470.594971
2014-11-12,2454.602051,2494.916992,2444.813965,2494.275879
2014-11-13,2494.998047,2507.74292,2471.406982,2486.669922
2014-11-14,2477.966064,2481.024902,2457.044922,2479.185059
2014-11-17,2506.864014,2508.76709,2472.446045,2475.120117
2014-11-18,2474.181885,2477.052002,2449.812988,2457.529053
2014-11-19,2452.149902,2461.490967,2442.709961,2451.166992
2014-11-20,2443.275879,2458.319092,2437.476074,2452.616943
2014-11-21,2452.63501,2488.200928,2446.645996,2487.111084
2014-11-24,2505.531982,2546.746094,2495.520996,2533.887939
